Country Name,Country Code,Series Name,Series Code,2025 [YR2025]
India,IND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 02/24/2026,,,,
